Event	ID	Name			Wwise Object Path	Notes
	145824316	wave_medium			\Default Work Unit\wave_medium	
	431960276	wavebuildup_stop			\Default Work Unit\wavebuildup_stop	
	445985469	die			\Default Work Unit\die	
	729984210	amb_stop			\Default Work Unit\amb_stop	
	1574979720	wavebuildup_start			\Default Work Unit\wavebuildup_start	
	1697625845	fs_light			\Default Work Unit\fs_light	
	2026842688	fs_heavy			\Default Work Unit\fs_heavy	
	2280827611	kwak			\Default Work Unit\kwak	
	2381502256	amb_play			\Default Work Unit\amb_play	
	2491838135	wave_light			\Default Work Unit\wave_light	
	3854606522	tiger			\Default Work Unit\tiger	
	4259068396	wave_strong			\Default Work Unit\wave_strong	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	109867281	DK_wave_light	C:\Users\MARTINEZ\Documents\SumoDucks\SumoDucks_Unity\SumoDucks_Unity_WwiseProject\.cache\Windows\SFX\DK_wave_light_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\3D\DK_wave_light		122944
	253488060	DCK_kwak_2	C:\Users\MARTINEZ\Documents\SumoDucks\SumoDucks_Unity\SumoDucks_Unity_WwiseProject\.cache\Windows\SFX\DCK_kwak_2_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\3D\Kwak\DCK_kwak_2		14144
	340441207	DCK_die_2	C:\Users\MARTINEZ\Documents\SumoDucks\SumoDucks_Unity\SumoDucks_Unity_WwiseProject\.cache\Windows\SFX\DCK_die_2_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\3D\Die\DCK_die_2		74816
	364106009	DCK_kwak_5	C:\Users\MARTINEZ\Documents\SumoDucks\SumoDucks_Unity\SumoDucks_Unity_WwiseProject\.cache\Windows\SFX\DCK_kwak_5_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\3D\Kwak\DCK_kwak_5		32576
	376697483	DCK_die_1	C:\Users\MARTINEZ\Documents\SumoDucks\SumoDucks_Unity\SumoDucks_Unity_WwiseProject\.cache\Windows\SFX\DCK_die_1_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\3D\Die\DCK_die_1		54592
	401559340	DK_amb	C:\Users\MARTINEZ\Documents\SumoDucks\SumoDucks_Unity\SumoDucks_Unity_WwiseProject\.cache\Windows\SFX\DK_amb_4B8CC0C5.wem		\Actor-Mixer Hierarchy\Default Work Unit\2D\DK_amb		4882496
	405269119	DCK_kwak_6	C:\Users\MARTINEZ\Documents\SumoDucks\SumoDucks_Unity\SumoDucks_Unity_WwiseProject\.cache\Windows\SFX\DCK_kwak_6_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\3D\Kwak\DCK_kwak_6		20544
	406401699	DCK_kwak_1	C:\Users\MARTINEZ\Documents\SumoDucks\SumoDucks_Unity\SumoDucks_Unity_WwiseProject\.cache\Windows\SFX\DCK_kwak_1_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\3D\Kwak\DCK_kwak_1		27200
	419202065	DCK_kwak_9	C:\Users\MARTINEZ\Documents\SumoDucks\SumoDucks_Unity\SumoDucks_Unity_WwiseProject\.cache\Windows\SFX\DCK_kwak_9_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\3D\Kwak\DCK_kwak_9		16960
	496530663	DK_fs_heavy	C:\Users\MARTINEZ\Documents\SumoDucks\SumoDucks_Unity\SumoDucks_Unity_WwiseProject\.cache\Windows\SFX\DK_fs_heavy_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\3D\DK_fs_heavy		56418
	514329837	DK_wave_medium	C:\Users\MARTINEZ\Documents\SumoDucks\SumoDucks_Unity\SumoDucks_Unity_WwiseProject\.cache\Windows\SFX\DK_wave_medium_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\3D\DK_wave_medium		140864
